schema_version,source_id,source_sha256,evidence_source_id,reference_period,observation_status,source_locator,transformation_id,measure,category,subcategory,value,unit
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_two_or_more_unrelated_persons_staff_or_service_accom,csv_household_tenure_long_v1,households,household_type,Two or more unrelated persons | Staff or service accom.,80,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_two_or_more_unrelated_persons_registered_lodging_house,csv_household_tenure_long_v1,households,household_type,Two or more unrelated persons | Registered lodging house,20,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_two_or_more_unrelated_persons_private_lodging,csv_household_tenure_long_v1,households,household_type,Two or more unrelated persons | Private lodging,30,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_two_or_more_unrelated_persons_other_non_qualified_accom,csv_household_tenure_long_v1,households,household_type,Two or more unrelated persons | Other non-qualified accom.,40,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_other_owner_occupied,csv_household_tenure_long_v1,households,household_type,Other | Owner Occupied,1170,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_other_social_rental,csv_household_tenure_long_v1,households,household_type,Other | Social Rental,190,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_other_qualified_rental,csv_household_tenure_long_v1,households,household_type,Other | Qualified Rental,580,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_other_staff_or_service_accom,csv_household_tenure_long_v1,households,household_type,Other | Staff or service accom.,70,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_other_registered_lodging_house,csv_household_tenure_long_v1,households,household_type,Other | Registered lodging house,30,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_other_private_lodging,csv_household_tenure_long_v1,households,household_type,Other | Private lodging,60,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_other_other_non_qualified_accom,csv_household_tenure_long_v1,households,household_type,Other | Other non-qualified accom.,100,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_all_owner_occupied,csv_household_tenure_long_v1,households,household_type,All | Owner Occupied,23870,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_all_social_rental,csv_household_tenure_long_v1,households,household_type,All | Social Rental,5830,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_all_qualified_rental,csv_household_tenure_long_v1,households,household_type,All | Qualified Rental,10740,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_all_staff_or_service_accom,csv_household_tenure_long_v1,households,household_type,All | Staff or service accom.,1100,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_all_registered_lodging_house,csv_household_tenure_long_v1,households,household_type,All | Registered lodging house,700,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_all_private_lodging,csv_household_tenure_long_v1,households,household_type,All | Private lodging,860,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_all_other_non_qualified_accom,csv_household_tenure_long_v1,households,household_type,All | Other non-qualified accom.,1500,households
