schema_version,source_id,source_sha256,evidence_source_id,reference_period,observation_status,source_locator,transformation_id,year,age_band,sex,count,reporting_status,upper_bound
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_year_2022_ages_12_15,annual_estimates_age_band_sum_v1,2022,12_to_15,male,2090,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_year_2022_ages_12_15,annual_estimates_age_band_sum_v1,2022,12_to_15,female,2130,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_year_2022_ages_12_15,annual_estimates_age_band_sum_v1,2022,12_to_15,all,4220,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_year_2022_ages_16_17,annual_estimates_age_band_sum_v1,2022,16_to_17,male,1010,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_year_2022_ages_16_17,annual_estimates_age_band_sum_v1,2022,16_to_17,female,1020,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_year_2022_ages_16_17,annual_estimates_age_band_sum_v1,2022,16_to_17,all,2030,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_year_2022_ages_0_17,annual_estimates_age_band_sum_v1,2022,17_and_under,male,9170,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_year_2022_ages_0_17,annual_estimates_age_band_sum_v1,2022,17_and_under,female,8830,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_year_2022_ages_0_17,annual_estimates_age_band_sum_v1,2022,17_and_under,all,18000,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_year_2022_ages_18_29,annual_estimates_age_band_sum_v1,2022,18_to_29,male,6800,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_year_2022_ages_18_29,annual_estimates_age_band_sum_v1,2022,18_to_29,female,6510,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_year_2022_ages_18_29,annual_estimates_age_band_sum_v1,2022,18_to_29,all,13310,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_year_2022_ages_30_39,annual_estimates_age_band_sum_v1,2022,30_to_39,male,7130,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_year_2022_ages_30_39,annual_estimates_age_band_sum_v1,2022,30_to_39,female,6930,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_year_2022_ages_30_39,annual_estimates_age_band_sum_v1,2022,30_to_39,all,14060,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_year_2022_ages_40_49,annual_estimates_age_band_sum_v1,2022,40_to_49,male,7620,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_year_2022_ages_40_49,annual_estimates_age_band_sum_v1,2022,40_to_49,female,7480,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_year_2022_ages_40_49,annual_estimates_age_band_sum_v1,2022,40_to_49,all,15100,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_year_2022_ages_50_54,annual_estimates_age_band_sum_v1,2022,50_to_54,male,4080,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_year_2022_ages_50_54,annual_estimates_age_band_sum_v1,2022,50_to_54,female,4020,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_year_2022_ages_50_54,annual_estimates_age_band_sum_v1,2022,50_to_54,all,8100,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_year_2022_ages_55_59,annual_estimates_age_band_sum_v1,2022,55_to_59,male,4130,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_year_2022_ages_55_59,annual_estimates_age_band_sum_v1,2022,55_to_59,female,4140,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_year_2022_ages_55_59,annual_estimates_age_band_sum_v1,2022,55_to_59,all,8270,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_year_2022_ages_60_64,annual_estimates_age_band_sum_v1,2022,60_to_64,male,3420,reported,
1.0,annual_population_estimates_by_age_sex_csv,1b7b14fa75cab035860dd865eedd72527a92dac1a9ca0fcf76bbb5a2b731e368,,2011/2024,derived,derived_from_year_2022_ages_60_64,annual_estimates_age_band_sum_v1,2022,60_to_64,female,3450,reported,
